"Code","Name"
"2464.TW","盟立"
"5209.TWO","新鼎"
"3632.TWO","研勤"
"2028.TW","威致"
"2303.TW","聯電"
"1218.TW","泰山"
"2108.TW","南帝化工"
"3268.TWO","海德威"
"1459.TW","聯發紡織"
"1734.TW","杏輝藥品"
"2349.TW","錸德"
"1413.TW","宏洲化工"
"4725.TW","信昌化工"
"1586.TWO","和勤"
"3033.TW","威健"
"4908.TWO","前鼎"
"2384.TW","勝華"
"8383.TWO","千附"
"4924.TWO","欣厚"
"2509.TW","全坤建"
"4103.TWO","百略"
"4164.TW","承業生醫"
"2704.TW","國賓"
"2429.TW","銘旺科"
"9950.TWO","萬國"
"1539.TW","巨庭機械"
"4111.TWO","濟生"
"6509.TWO","聚和"
"8053.TWO","巨擘"
"5490.TWO","同亨"
"6274.TWO","台燿"
"3481.TW","群創光電"
"5474.TWO","聰泰"
"6277.TW","宏正"
"2417.TW","圓剛"
"8011.TW","台通光電"
"9188.TW","精熙"
"2476.TW","鉅祥"
"910579.TW","歐聖"
"3583.TW","辛耘"
"2911.TW","麗嬰房"
"3284.TWO","太普高"
"4987.TWO","科誠"
"4737.TW","華廣"
"1906.TW","寶隆"
"6212.TWO","理銘"
"2718.TWO","桃園店"
"1264.TWO","德麥"
"6114.TWO","翔昇"
"4506.TWO","崇友"
"3205.TWO","佰研"
"6123.TWO","上奇"
"5007.TW","三星科技"
"1321.TW","大洋"
"2498.TW","宏達電"
"5902.TWO","德記"
"6128.TW","上福"
"0054.TW","台商50"
"3653.TW","健策"
"1722.TW","台灣肥料"
"2430.TW","燦坤"
"1447.TW","力鵬"
"2201.TW","裕隆汽車"
"2337.TW","旺宏"
"2612.TW","中航"
"3310.TWO","佳穎"
"3045.TW","台灣大哥大"
"1256.TWO","F-鮮活"
"4416.TWO","三圓"
"6204.TWO","艾華"
"4942.TW","嘉彰"
"2486.TW","一詮"
"2006.TW","東和鋼鐵"
"5465.TWO","富驊"
"6266.TWO","泰詠"
"6185.TWO","幃翔"
"4919.TW","新唐科技"
"2841.TW","台開"
"3296.TW","勝德"
"2405.TW","浩鑫"
"1802.TW","臺灣玻璃"
"1527.TW","鑽全"
"4995.TWO","晶達"
"3011.TW","今皓"
"2362.TW","藍天"
"2923.TW","F-鼎固"
"1470.TW","大統染"
"6289.TW","華上"
"3551.TWO","世禾"
"8422.TW","可寧衛"
"3276.TWO","宇環"
"8940.TW","新天地"
"3293.TWO","鈊象"
"8401.TWO","白紗"
"1308.TW","亞聚"
"3552.TWO","同致"
"8390.TWO","金益鼎"
"3188.TWO","安茂"
"2439.TW","美律"
"1781.TWO","合世"
"3665.TW","F-貿聯"
"3625.TWO","西勝"
"3149.TW","正達國際"
"3229.TW","晟鈦"
"3504.TW","揚明光"
"2474.TW","可成"
"2534.TW","宏盛"
"4120.TWO","友華"
"4119.TW","旭富"
"4956.TW","光鋐科技"
"1569.TWO","濱川"
"8277.TWO","商丞"
"9951.TWO","皇田"
"4994.TWO","傳奇"
"1709.TW","和益化工"
"9105.TW","泰金寶"
"6206.TW","飛捷"
"3615.TWO","安可"
"4933.TWO","友輝"
